leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
7, 8, -1, 24, -1, false
8, 9, -1, 24, -1, false
6, 7, -1, 23, -1, false
0, 1, -1, 11, -1, false
2, 3, -1, 17, -1, false
1, 1, -1, 11, -1, false
18, 24, -1, 30, -1, false
21, 27, -1, 30, -1, false
23, 29, -1, 30, -1, false
0, 1, -1, 10, -1, false
3, 4, -1, 12, -1, false
2, 3, -1, 12, -1, false
12, 19, -1, 78, -1, false
8, 15, -1, 78, -1, false
12, 19, -1, 78, -1, false
6, 9, -1, 12, -1, false
10, 13, -1, 16, -1, false
8, 12, -1, 15, -1, false

leaf_size, node_size, main_loc, snippet_size, snippet_loc, build_or_not
22, 36, -1, 14, -1, false
24, 36, -1, 22, -1, false
16, 30, -1, 14, -1, false
2, 3, -1, 0, -1, true
3, 4, -1, 0, -1, true
4, 5, -1, 0, -1, true
3, 4, -1, 0, -1, true
1, 1, -1, 0, -1, true
3, 4, -1, 13, -1, false
12, 23, -1, 22, -1, false
17, 30, -1, 14, -1, false
20, 33, -1, 22, -1, false
2, 9, -1, 16, -1, false
2, 8, -1, 22, -1, false
6, 12, -1, 22, -1, false
6, 28, -1, 15, -1, false
10, 32, -1, 15, -1, false
10, 32, -1, 15, -1, false
1, 2, -1, 3, -1, true
1, 2, -1, 3, -1, true
1, 2, -1, 3, -1, true
16, 24, -1, 21, -1, false
14, 21, -1, 21, -1, false
14, 21, -1, 21, -1, false
4, 9, -1, 4, -1, true
3, 5, -1, 4, -1, true
3, 7, -1, 4, -1, true
15, 34, -1, 23, -1, false
16, 36, -1, 22, -1, false
18, 38, -1, 21, -1, false
7, 15, -1, 8, -1, true
9, 17, -1, 29, -1, false
8, 15, -1, 21, -1, false
22, 37, -1, 28, -1, false
29, 44, -1, 26, -1, false
24, 38, -1, 25, -1, false
1, 2, -1, 0, -1, false
1, 1, -1, 0, -1, false
1, 3, -1, 0, -1, false
19, 39, -1, 18, -1, false
17, 39, -1, 17, -1, false
21, 42, -1, 18, -1, false
17, 42, -1, 25, -1, false
19, 44, -1, 25, -1, false
20, 48, -1, 26, -1, false
0, 1, -1, 0, -1, true
0, 1, -1, 0, -1, true
1, 1, -1, 2, -1, false
15, 21, -1, 17, -1, false
12, 18, -1, 16, -1, false
16, 22, -1, 17, -1, false
10, 15, -1, 16, -1, false
11, 16, -1, 16, -1, false
11, 16, -1, 16, -1, false
1, 1, -1, 1, -1, false
1, 2, -1, 1, -1, false
1, 1, -1, 1, -1, false
2, 3, -1, 12, -1, false
2, 3, -1, 12, -1, false
2, 3, -1, 0, -1, false
1, 2, -1, 0, -1, false
1, 2, -1, 12, -1, false
1, 1, -1, 0, -1, true
3, 4, -1, 0, -1, false
1, 2, -1, 0, -1, false
2, 3, -1, 12, -1, false
2, 3, -1, 12, -1, false
3, 4, -1, 12, -1, false
2, 3, -1, 12, -1, false
8, 16, -1, 10, -1, false
5, 12, -1, 0, -1, false
9, 17, -1, 10, -1, false
3, 4, -1, 0, -1, false
3, 4, -1, 0, -1, false
3, 4, -1, 0, -1, false
51, 95, -1, 75, -1, false
49, 99, -1, 147, -1, false
54, 101, -1, 103, -1, false
6, 7, -1, 3, -1, true
4, 5, -1, 3, -1, true
3, 4, -1, 0, -1, true
6, 7, -1, 0, -1, true
8, 9, -1, 0, -1, true
6, 7, -1, 0, -1, true
10, 11, -1, 16, -1, false
9, 10, -1, 16, -1, false
8, 9, -1, 19, -1, false
3, 12, -1, 0, -1, false
6, 16, -1, 0, -1, false
7, 20, -1, 0, -1, false
160, 300, -1, 78, -1, false
138, 271, -1, 73, -1, false
145, 273, -1, 75, -1, false
3, 12, -1, 13, -1, false
3, 12, -1, 13, -1, false
3, 13, -1, 13, -1, false
1, 5, -1, 10, -1, false
2, 7, -1, 10, -1, false
1, 3, -1, 10, -1, false
3, 6, -1, 0, -1, false
2, 4, -1, 0, -1, false
1, 4, -1, 0, -1, false
2, 3, -1, 12, -1, false
1, 2, -1, 10, -1, false
2, 3, -1, 11, -1, false
40, 123, -1, 50, -1, false
43, 124, -1, 50, -1, false
40, 125, -1, 50, -1, false
0, 5, -1, 50, -1, false
2, 10, -1, 50, -1, false
1, 6, -1, 50, -1, false
3, 6, -1, 11, -1, false
1, 4, -1, 1, -1, false
0, 1, -1, 1, -1, false
1, 1, -1, 0, -1, false
2, 5, -1, 10, -1, false
1, 4, -1, 10, -1, false
2, 8, -1, 0, -1, true
2, 9, -1, 0, -1, true
1, 5, -1, 0, -1, true
1, 2, -1, 0, -1, false
1, 2, -1, 0, -1, false
1, 2, -1, 0, -1, false
103, 189, -1, 6, -1, false
90, 182, -1, 7, -1, false
87, 171, -1, 8, -1, false
17, 31, -1, 2, -1, false
17, 32, -1, 2, -1, false
13, 28, -1, 2, -1, false
48, 107, -1, 50, -1, false
53, 111, -1, 50, -1, false
