leaf_size, snippet_size, build_or_not
1, 6, false
2, 8, false
4, 369, false
8, 10, false
6, 65, false
4, 10, false
5, 45, false
8, 65, false
3, 363, false
3, 363, false
6, 364, false
6, 371, false
3, 8, false
5, 370, false
4, 364, false
3, 4, false
4, 7, false
8, 367, false
8, 9, false
6, 15, false
3, 9, false
7, 46, false
5, 46, false
12, 372, false
14, 65, false
15, 65, false
12, 8, false
18, 373, false
25, 14, false
15, 374, false
17, 13, false
13, 371, false
55, 46, false
54, 371, false
61, 372, false
3, 0, false
6, 12, false
2, 0, false
0, 0, true
1, 374, false
1, 374, false
0, 0, true
0, 0, true
0, 0, true
1, 374, false
0, 0, true
1, 374, false
0, 0, true
2, 3, true
3, 3, true
4, 3, true
4, 3, true
4, 3, true
3, 4, true
0, 0, true
3, 3, true
1, 0, true
3, 3, true
0, 0, true
2, 4, true
1, 3, true
1, 4, true
1, 0, true
0, 0, true
1, 0, true
2, 3, true
1, 0, true
1, 0, true
3, 3, true
1, 3, true
4, 4, true
0, 0, true
0, 0, true
1, 1, true
4, 9, false
1, 4, false
3, 4, false
1, 0, true
1, 0, true
0, 0, true
0, 0, true
2, 59, false
3, 58, false
2, 53, false
2, 53, false
2, 53, false
2, 53, false
0, 0, true
0, 0, true
3, 57, false
2, 53, false
3, 57, false
1, 4, false
2, 53, false
1, 4, false
0, 0, true
1, 0, true
1, 0, true
0, 0, true
2, 53, false
1, 4, false
1, 0, true
0, 0, true
0, 0, true
0, 0, true
3, 57, false
1, 0, true
0, 0, true
1, 0, true
2, 53, false
1, 0, true
2, 53, false
2, 53, false
0, 0, true
3, 57, false
1, 4, false
2, 53, false
1, 0, true
0, 0, true
2, 53, false
3, 57, false
1, 4, false
0, 0, true
0, 0, true
1, 4, false
2, 4, false
1, 4, false
5, 57, false
1, 37, false
2, 37, false
1, 36, false
0, 0, true
1, 36, false
1, 36, false
10, 79, false
5, 67, false
5, 79, false
1, 66, false
1, 66, false
2, 66, false
1, 0, false
0, 0, true
2, 66, false
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
1, 0, false
1, 0, false
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
0, 0, true
1, 65, false
0, 0, true
4, 65, false
3, 65, false
3, 65, false
1, 0, false
0, 0, true
2, 65, false
1, 65, false
0, 0, true
1, 65, false
3, 65, false
3, 65, false
3, 65, false
2, 65, false
0, 0, true
0, 0, true
1, 0, true
1, 0, true
0, 0, true
0, 0, true
0, 0, true
1, 65, false
0, 0, true
0, 0, true
0, 0, true
9, 131, false
7, 84, false
7, 132, false
0, 0, true
0, 0, true
0, 0, true
3, 65, false
5, 65, false
5, 65, false
3, 65, false
3, 65, false
0, 0, true
1, 65, false
5, 65, false
1, 0, true
0, 0, true
2, 73, false
1, 36, false
4, 67, false
5, 67, false
5, 67, false
8, 67, false
6, 67, false
6, 67, false
2, 36, false
1, 36, false
4, 37, false
4, 45, false
1, 82, false
3, 41, false
6, 36, false
5, 36, false
5, 36, false
9, 47, false
8, 97, false
7, 60, false
7, 63, false
2, 41, false
6, 69, false
1, 36, false
5, 120, false
0, 0, true
1, 0, true
0, 0, true
0, 0, true
4, 118, false
4, 120, false
7, 120, false
